unmatched_address,matched_address,matched_id,score
2702 Hanover Ave.,2702 hanover ave,46861,100.0
310 N. Stafford Ave.,310 n stafford ave,93973,100.0
2200 Stuart Ave.,2200 stuart ave,1095654,100.0
2200 Stuart Ave.,2200 stuart ave,1095654,100.0
2409 Stuart Ave.,2409 stuart ave,95738,100.0
2500 Stuart Ave.,2500 stuart ave,95769,100.0
1504 Floyd Ave.,1504 floyd ave,34563,100.0
1129 Floyd Ave.,1129 floyd ave,34479,100.0
1401 Grove Ave.,1401 grove ave,44005,100.0
1423 Grove Ave.,1423 grove ave,44069,100.0
1305 Grove Ave.,1305 grove ave,43989,100.0
1425 Grove Ave.,1425 grove ave,44083,100.0
1015 W. Franklin St.,1015 w franklin st,37207,100.0
314 N. Harrison St.,314 n harrison st,47609,100.0
208 N. Plum St.,208 n plum st,84071,100.0
1129 West Ave.,1129 west ave,102477,100.0
1853 W. Grace St.,1853 w grace st,40909,100.0
2004 W. Grace St.,2004 w grace st,40921,100.0
2012 W. Grace St.,2012 w grace st,40935,100.0
2019 W. Grace St.,2019 w grace st,40947,100.0
1633 Monument Ave.,1633 monument ave,71804,100.0
1815 Monument Ave.,1815 monument ave,71822,100.0
2023 Monument Ave.,2023 monument ave,71896,100.0
2032 Monument Ave.,2032 monument ave,71907,100.0
2036 Monument Ave.,2036 monument ave,71910,100.0
2216 Monument Ave.,2216 monument ave,71936,100.0
2218 Monument Ave.,2218 monument ave,71939,100.0
2312 Monument Ave.,2312 monument ave,71978,100.0
2610 Monument Ave.,2610 monument ave,72029,100.0
2712 Monument Ave.,2712 monument ave,72047,100.0
2016 Monument Ave.,2016 monument ave,71884,100.0
1834 Monument Ave.,1834 monument ave,71845,100.0
2220 Monument Ave.,2220 monument ave,71941,100.0
2327 Monument Ave.,2327 monument ave,71986,100.0
1502 Park Ave.,1502 park ave,78887,100.0
1534 Park Ave.,1534 park ave,78900,100.0
1810 Park Ave.,1810 park ave,78969,100.0
1812 Park Ave.,1812 park ave,78973,100.0
2013 Park Ave.,2013 park ave,79024,100.0
2308 Park Ave.,2308 park ave,79178,100.0
429 N. Stafford Ave.,429 n stafford ave,94006,100.0
2100 Stuart Ave.,2100 stuart ave,95617,100.0
2103 Stuart Ave.,2103 stuart ave,95623,100.0
2202 W. Grace St.,2202 w grace st,40997,100.0
2511 W. Grace St.,2511 w grace st,41207,100.0
