AddressId,AddressLabel,BuildingNumber,StreetDirection,StreetName,StreetType,ExtensionWithUnit,UnitType,UnitValue,ZipCode,Mailable,StatePlaneX,StatePlaneY,Latitude,Longitude,ID,Name,AddressBase,AddressExtension
1055494,2301 Hanover Ave Apt A,2301,,Hanover,Ave,,Apt,A,23220,Yes,11782109.7771203,3726828.18747127,37.55379024,-77.4678755,0350,Fan District Association,2301 Hanover Ave,Apt A
1055495,2301 Hanover Ave Apt 0,2301,,Hanover,Ave,,Apt,0,23220,Yes,11782109.7771203,3726828.18747127,37.55379024,-77.4678755,0350,Fan District Association,2301 Hanover Ave,Apt 0
3008798,1843 W Grace St Apt A,1843,W,Grace,St,,Apt,A,23220,Yes,11784077.8778429,3727511.52239069,37.55560754,-77.46106076,0350,Fan District Association,1843 W Grace St,Apt A
3008799,1843 W Grace St Apt B,1843,W,Grace,St,,Apt,B,23220,Yes,11784077.8778429,3727511.52239069,37.55560754,-77.46106076,0350,Fan District Association,1843 W Grace St,Apt B
3150302,1617 W Broad St Apt B,1617,W,Broad,St,,Apt,B,23220,Yes,11785242.6406052,3727095.74238235,37.55443045,-77.45705876,0350,Fan District Association,1617 W Broad St,Apt B
3150301,1617 W Broad St Ste A,1617,W,Broad,St,,Ste,A,23220,Yes,11785242.6406052,3727095.74238235,37.55443045,-77.45705876,0350,Fan District Association,1617 W Broad St,Ste A
1051359,1616 W Grace St Apt 1,1616,W,Grace,St,,Apt,1,23220,Yes,11785116.4777998,3726899.94290519,37.55389657,-77.45750141,0350,Fan District Association,1616 W Grace St,Apt 1
1051360,1616 W Grace St Apt 2,1616,W,Grace,St,,Apt,2,23220,Yes,11785116.4777998,3726899.94290519,37.55389657,-77.45750141,0350,Fan District Association,1616 W Grace St,Apt 2
1051361,1616 W Grace St Apt 3,1616,W,Grace,St,,Apt,3,23220,Yes,11785116.4777998,3726899.94290519,37.55389657,-77.45750141,0350,Fan District Association,1616 W Grace St,Apt 3
1051362,1616 W Grace St Apt 4,1616,W,Grace,St,,Apt,4,23220,Yes,11785116.4777998,3726899.94290519,37.55389657,-77.45750141,0350,Fan District Association,1616 W Grace St,Apt 4
1051363,1616 W Grace St Apt 5,1616,W,Grace,St,,Apt,5,23220,Yes,11785116.4777998,3726899.94290519,37.55389657,-77.45750141,0350,Fan District Association,1616 W Grace St,Apt 5
3008783,1641 W Grace St Apt B5,1641,W,Grace,St,,Apt,B5,23220,Yes,11784845.4274889,3726948.87292543,37.55403915,-77.45843451,0350,Fan District Association,1641 W Grace St,Apt B5
3152918,1641 W Grace St Apt 1,1641,W,Grace,St,,Apt,1,23220,Yes,11784845.4274889,3726948.87292543,37.55403915,-77.45843451,0350,Fan District Association,1641 W Grace St,Apt 1
