OBJECTID,ID,Name,District,Class,CreatedBy,CreatedDate,EditBy,EditDate,GlobalID,Shape__Area,Shape__Length
91,OKW,Oakwood,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,16ce93d4-2f23-4635-86dc-7e400b32a563,4126307.28125,9988.36105825358
92,OKWC,Oakwood Cemetery,East,3,richmondvagis,1572900161564,richmondvagis,1572900161564,4b1d09c5-b789-43d3-9141-dcf2c6a1a52c,17688158.046875,27138.4318607655
93,OTMN,Old Town Manchester,Old South,2,richmondvagis,1572900161564,richmondvagis,1572900161564,afc0afbb-eb6d-4a10-8665-803bc9a7425a,15876859.2421875,18613.5437903784
94,ORGH,Oregon Hill,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,f0c90bc4-349c-4ed1-b8cf-c7c7fc179d88,4512427.4375,10787.7883870798
95,OXFD,Oxford,Huguenot,1,richmondvagis,1572900161564,richmondvagis,1572900161564,38344f54-870e-4f57-a0f3-dd9224eb2df8,20354436.15625,19291.1155959696
96,PNLI,Parnell Industrial Area,Broad Rock,2,richmondvagis,1572900161564,richmondvagis,1572900161564,2c07243b-7553-4a22-9aa7-2858266f8262,15772024.3125,26078.0805788301
97,PTPL,Peter Paul,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,f1f7cdb4-4a88-49e3-b4b6-d1acd496c6f6,3258881.00390625,6901.69111746497
98,PINE,Pine Camp,North,3,richmondvagis,1572900161564,richmondvagis,1572900161564,75bf8a72-0709-4c8a-8e21-4707a071b86b,4896966.80859375,13913.9401944919
99,PNKN,Piney Knolls,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,e0309ee3-738a-425f-834c-2089e645ebb1,22120879.5664063,20264.5259120452
100,PCSH,Pocoshock,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,0cb455ba-5a53-4db0-930a-679723de2243,4893509.796875,9745.51569025047
101,PWHP,Powhite Park,Midlothian,3,richmondvagis,1572900161564,richmondvagis,1572900161564,3be24b3f-4013-46de-95ce-541157c56285,5004216.08203125,17299.2331071931
